        YEAR      QSTROP      QSEQUA    MINDEX       ECC       XOB      PERH
        0.00      909.41      823.68   0.00000  0.016724  23.44676 102.15749
     1000.00      911.21      826.51   0.77992  0.016307  23.31855 119.32861
     2000.00      914.26      830.67   2.71058  0.015867  23.19356 136.58855
     3000.00      918.19      835.75   5.48127  0.015404  23.07481 153.93661
     4000.00      922.55      841.26   8.71283  0.014920  22.96511 171.37164
     5000.00      926.89      846.65  11.99531  0.014416  22.86700 188.89203
     6000.00      930.76      851.44  14.93855  0.013893  22.78270 206.49615
     7000.00      933.77      855.19  17.21549  0.013353  22.71400 224.18260
     8000.00      935.67      857.61  18.59334  0.012797  22.66229 241.95062
     9000.00      936.32      858.55  18.95860  0.012226  22.62851 259.80063
    10000.00      935.75      858.03  18.32948  0.011642  22.61311 277.73444
    11000.00      934.09      856.20  16.84393  0.011047  22.61607 295.75635
    12000.00      931.63      853.38  14.74180  0.010442  22.63688 313.87347
    13000.00      928.69      849.92  12.32811  0.009829  22.67463 332.09711
    14000.00      925.67      846.26   9.93559  0.009210  22.72797 350.44376
    15000.00      922.90      842.79   7.87858  0.008588  22.79522   8.93732
    16000.00      920.71      839.87   6.42209  0.007964  22.87438  27.61108
    17000.00      919.31      837.73   5.74879  0.007341  22.96324  46.51126
    18000.00      918.80      836.53   5.93873  0.006723  23.05943  65.70221
    19000.00      919.19      836.27   6.97111  0.006114  23.16047  85.27246
    20000.00      920.35      836.83   8.72619  0.005518  23.26390 105.34528
    21000.00      922.09      838.04  11.00679  0.004941  23.36726 126.09070
    22000.00      924.16      839.61  13.56505  0.004393  23.46821 147.74158
    23000.00      926.27      841.26  16.13421  0.003886  23.56456 170.60516
    24000.00      928.16      842.73  18.46025  0.003436  23.65427 195.05048
    25000.00      929.62      843.77  20.33009  0.003067  23.73553 221.42194
    26000.00      930.49      844.24  21.59494  0.002809  23.80675 249.80121
    27000.00      930.69      844.06  22.18291  0.002687  23.86655 279.65277
    28000.00      930.26      843.27  22.10073  0.002716  23.91382 309.72998
    29000.00      929.28      841.98  21.43519  0.002884  23.94764 338.63574
    30000.00      927.92      840.36  20.32996  0.003163  23.96736   5.55396
    31000.00      926.39      838.66  18.97410  0.003520  23.97254  30.38281
    32000.00      924.92      837.13  17.57124  0.003928  23.96297  53.41162
    33000.00      923.72      835.99  16.32352  0.004367  23.93867  75.02319
    34000.00      922.99      835.45  15.39720  0.004824  23.89991  95.55853
    35000.00      922.84      835.64  14.91025  0.005287  23.84721 115.28467
    36000.00      923.33      836.61  14.91700  0.005752  23.78134 134.40192
    37000.00      924.44      838.34  15.39960  0.006213  23.70337 153.05811
    38000.00      926.05      840.69  16.27040  0.006667  23.61461 171.36316
    39000.00      927.99      843.46  17.38117  0.007111  23.51668 189.39899
    40000.00      930.04      846.40  18.53921  0.007543  23.41151 207.22717
    41000.00      931.94      849.22  19.52791  0.007963  23.30126 224.89502
    42000.00      933.44      851.62  20.13208  0.008368  23.18832 242.43768
    43000.00      934.32      853.33  20.16472  0.008758  23.07533 259.88214
    44000.00      934.40      854.16  19.48865  0.009133  22.96507 277.24829
    45000.00      933.58      853.99  18.03884  0.009492  22.86035 294.55029
    46000.00      931.88      852.78  15.83311  0.009835  22.76406 311.79779
    47000.00      929.38      850.64  12.97758  0.010162  22.67894 328.99646
    48000.00      926.26      847.73   9.65774  0.010472  22.60762 346.14874
    49000.00      922.79      844.32   6.12539  0.010766  22.55243   3.25366
    50000.00      919.28      840.75   2.68001  0.011045  22.51537  20.30872
    51000.00      916.06      837.35  -0.37566  0.011307  22.49798  37.30927
    52000.00      913.42      834.46  -2.74694  0.011554  22.50132  54.24896
    53000.00      911.65      832.36  -4.18989  0.011786  22.52590  71.12073
    54000.00      910.93      831.26  -4.53214  0.012004  22.57163  87.91626
    55000.00      911.37      831.28  -3.68907  0.012207  22.63784 104.62738
    56000.00      912.94      832.42  -1.67530  0.012398  22.72323 121.24664
    57000.00      915.55      834.57   1.39946  0.012575  22.82598 137.76575
    58000.00      919.01      837.54   5.34200  0.012739  22.94374 154.17804
    59000.00      923.04      841.05   9.89003  0.012893  23.07365 170.47821
    60000.00      927.34      844.80  14.73834  0.013035  23.21259 186.66174
    61000.00      931.57      848.44  19.56724  0.013167  23.35705 202.72607
    62000.00      935.43      851.67  24.06472  0.013288  23.50341 218.67072
    63000.00      938.64      854.19  27.95369  0.013401  23.64793 234.49664
    64000.00      940.98      855.81  31.00968  0.013506  23.78690 250.20709
    65000.00      942.29      856.38  33.07374  0.013602  23.91673 265.80743
    66000.00      942.52      855.84  34.06094  0.013691  24.03405 281.30432
    67000.00      941.66      854.23  33.95960  0.013774  24.13577 296.70685
    68000.00      939.81      851.66  32.82829  0.013850  24.21917 312.02527
    69000.00      937.11      848.29  30.78886  0.013920  24.28197 327.27161
    70000.00      933.77      844.38  28.01413  0.013985  24.32238 342.45813
    71000.00      930.02      840.18  24.71363  0.014044  24.33913 357.59851
    72000.00      926.13      835.99  21.12223  0.014100  24.33153  12.70642
    73000.00      922.36      832.10  17.48250  0.014150  24.29945  27.79578
    74000.00      918.98      828.79  14.03082  0.014196  24.24335  42.87964
    75000.00      916.20      826.29  10.98101  0.014239  24.16431  57.97107
    76000.00      914.22      824.80   8.51155  0.014277  24.06392  73.08105
    77000.00      913.17      824.45   6.75489  0.014312  23.94439  88.21997
    78000.00      913.10      825.28   5.78666  0.014343  23.80836 103.39575
    79000.00      914.02      827.28   5.62282  0.014371  23.65899 118.61511
    80000.00      915.84      830.34   6.21463  0.014394  23.49978 133.88245
    81000.00      918.43      834.27   7.45573  0.014415  23.33457 149.19946
    82000.00      921.57      838.82   9.18831  0.014432  23.16741 164.56641
    83000.00      925.02      843.70  11.21292  0.014445  23.00246 179.98059
    84000.00      928.51      848.57  13.30925  0.014455  22.84393 195.43774
    85000.00      931.74      853.10  15.24734  0.014462  22.69588 210.93103
    86000.00      934.46      856.97  16.81173  0.014466  22.56217 226.45178
    87000.00      936.44      859.92  17.82413  0.014467  22.44632 241.99036
    88000.00      937.51      861.74  18.15208  0.014466  22.35141 257.53516
    89000.00      937.58      862.30  17.72746  0.014462  22.27997 273.07446
    90000.00      936.64      861.58  16.55209  0.014457  22.23389 288.59412
    91000.00      934.75      859.66  14.69668  0.014451  22.21441 304.08142
    92000.00      932.06      856.67  12.29830  0.014444  22.22199 319.52283
    93000.00      928.77      852.86   9.54355  0.014437  22.25635 334.90527
    94000.00      925.15      848.50   6.65564  0.014432  22.31650 350.21643
    95000.00      921.45      843.89   3.86685  0.014429  22.40070   5.44556
    96000.00      917.95      839.36   1.40999  0.014429  22.50660  20.58240
    97000.00      914.91      835.19  -0.50938  0.014434  22.63126  35.61890
    98000.00      912.53      831.64  -1.72244  0.014445  22.77130  50.54858
    99000.00      910.97      828.92  -2.10793  0.014463  22.92298  65.36780
   100000.00      910.35      827.16  -1.60012  0.014491  23.08234  80.07397
