        YEAR      QSTROP      QSEQUA    MINDEX       ECC       XOB      PERH
  -190000.00      889.76      808.86 -24.48115  0.045251  22.46879  44.73389
  -189000.00      882.20      800.37 -31.11467  0.044643  22.50297  61.36694
  -188000.00      878.34      795.83 -34.27539  0.044005  22.55327  77.94751
  -187000.00      878.40      795.44 -33.79071  0.043338  22.61821  94.46411
  -186000.00      882.20      799.07 -29.80866  0.042645  22.69607 110.90771
  -185000.00      889.30      806.21 -22.75928  0.041926  22.78500 127.26782
  -184000.00      898.96      816.09 -13.31190  0.041185  22.88299 143.53784
  -183000.00      910.29      827.73  -2.29503  0.040422  22.98801 159.70654
  -182000.00      922.30      840.09   9.38203  0.039640  23.09796 175.76953
  -181000.00      934.03      852.11  20.81691  0.038843  23.21076 191.71802
  -180000.00      944.59      862.85  31.19180  0.038031  23.32436 207.54712
  -179000.00      953.26      871.54  39.83727  0.037209  23.43676 223.25269
  -178000.00      959.52      877.64  46.27044  0.036379  23.54600 238.82861
  -177000.00      963.10      880.84  50.22124  0.035545  23.65020 254.27271
  -176000.00      963.93      881.10  51.62795  0.034710  23.74754 269.58374
  -175000.00      962.17      878.59  50.61964  0.033879  23.83629 284.75708
  -174000.00      958.15      873.68  47.48344  0.033055  23.91476 299.79443
  -173000.00      952.32      866.87  42.62271  0.032242  23.98140 314.69507
  -172000.00      945.21      858.77  36.51497  0.031446  24.03473 329.46021
  -171000.00      937.40      849.99  29.66359  0.030672  24.07343 344.09204
  -170000.00      929.42      841.15  22.56184  0.029924  24.09634 358.59424
  -169000.00      921.80      832.79  15.66365  0.029207  24.10254  12.97241
  -168000.00      914.95      825.40   9.35247  0.028528  24.09134  27.23193
  -167000.00      909.21      819.34   3.93561  0.027892  24.06241  41.38062
  -166000.00      904.82      814.87  -0.37276  0.027303  24.01575  55.42969
  -165000.00      901.92      812.14  -3.43939  0.026769  23.95181  69.39160
  -164000.00      900.55      811.19  -5.21565  0.026293  23.87149  83.27930
  -163000.00      900.70      811.98  -5.71772  0.025880  23.77615  97.11108
  -162000.00      902.27      814.41  -5.01871  0.025536  23.66764 110.90552
  -161000.00      905.11      818.31  -3.23301  0.025262  23.54831 124.68298
  -160000.00      909.04      823.45  -0.50825  0.025061  23.42090 138.46619
  -159000.00      913.85      829.59   2.98257  0.024936  23.28861 152.27832
  -158000.00      919.31      836.44   7.04396  0.024886  23.15488 166.14111
  -157000.00      925.14      843.68  11.45971  0.024911  23.02338 180.07617
  -156000.00      931.06      850.98  15.99355  0.025009  22.89789 194.10278
  -155000.00      936.75      857.97  20.38958  0.025178  22.78216 208.23694
  -154000.00      941.90      864.28  24.37982  0.025413  22.67975 222.49121
  -153000.00      946.17      869.51  27.68737  0.025711  22.59398 236.87329
  -152000.00      949.26      873.33  30.05034  0.026066  22.52770 251.38794
  -151000.00      950.89      875.41  31.23560  0.026474  22.48326 266.03442
  -150000.00      950.86      875.51  31.06236  0.026927  22.46241 280.80920
  -149000.00      949.04      873.51  29.43741  0.027422  22.46615 295.70447
  -148000.00      945.45      869.41  26.35988  0.027950  22.49477 310.71106
  -147000.00      940.22      863.35  21.95736  0.028508  22.54777 325.81616
  -146000.00      933.62      855.64  16.46783  0.029089  22.62390 341.00781
  -145000.00      926.07      846.75  10.25390  0.029689  22.72119 356.27185
  -144000.00      918.07      837.24   3.76293  0.030302  22.83697  11.59473
  -143000.00      910.22      827.79  -2.49404  0.030923  22.96803  26.96460
  -142000.00      903.12      819.09  -7.98282  0.031548  23.11061  42.36865
  -141000.00      897.38      811.82 -12.19438  0.032174  23.26066  57.79785
  -140000.00      893.51      806.57 -14.68528  0.032796  23.41382  73.24377
  -139000.00      891.92      803.81 -15.12061  0.033411  23.56564  88.70068
  -138000.00      892.83      803.84 -13.31039  0.034016  23.71173 104.16418
  -137000.00      896.31      806.72  -9.23444  0.034608  23.84780 119.63306
  -136000.00      902.21      812.33  -3.05309  0.035185  23.96985 135.10730
  -135000.00      910.18      820.32   4.89747  0.035744  24.07432 150.58948
  -134000.00      919.70      830.13  14.12340  0.036283  24.15808 166.08398
  -133000.00      930.11      841.08  24.00618  0.036801  24.21862 181.59607
  -132000.00      940.67      852.36  33.84428  0.037295  24.25406 197.13379
  -131000.00      950.57      863.09  42.91027  0.037765  24.26322 212.70386
  -130000.00      959.04      872.45  50.49379  0.038209  24.24569 228.31506
  -129000.00      965.38      879.65  55.96133  0.038627  24.20177 243.97620
  -128000.00      969.01      884.08  58.80784  0.039017  24.13254 259.69531
  -127000.00      969.57      885.31  58.70216  0.039378  24.03979 275.48035
  -126000.00      966.90      883.15  55.51535  0.039710  23.92598 291.33801
  -125000.00      961.09      877.68  49.34905  0.040013  23.79421 307.27417
  -124000.00      952.48      869.27  40.54157  0.040287  23.64810 323.29309
  -123000.00      941.66      858.54  29.65609  0.040531  23.49173 339.39697
  -122000.00      929.45      846.31  17.44860  0.040744  23.32949 355.58716
  -121000.00      916.78      833.61   4.81680  0.040928  23.16595  11.86243
  -120000.00      904.68      821.50  -7.27329  0.041083  23.00578  28.21948
  -119000.00      894.15      811.05 -17.87505  0.041208  22.85356  44.65405
  -118000.00      886.10      803.20 -26.14404  0.041303  22.71365  61.15894
  -117000.00      881.21      798.71 -31.42075  0.041371  22.59006  77.72620
  -116000.00      879.93      798.02 -33.28826  0.041409  22.48630  94.34631
  -115000.00      882.39      801.25 -31.61328  0.041421  22.40533 111.00903
  -114000.00      888.37      808.16 -26.56330  0.041405  22.34939 127.70166
  -113000.00      897.36      818.18 -18.59378  0.041362  22.31995 144.41235
  -112000.00      908.58      830.44  -8.40832  0.041294  22.31770 161.12891
  -111000.00      921.05      843.86   3.10073  0.041201  22.34250 177.83875
  -110000.00      933.68      857.28  14.94378  0.041083  22.39341 194.52917
  -109000.00      945.39      869.52  26.12217  0.040942  22.46873 211.18909
  -108000.00      955.20      879.54  35.72010  0.040778  22.56606 227.80811
  -107000.00      962.32      886.51  43.00001  0.040593  22.68242 244.37622
  -106000.00      966.23      889.87  47.45123  0.040385  22.81435 260.88562
  -105000.00      966.68      889.39  48.83331  0.040158  22.95803 277.32935
  -104000.00      963.75      885.18  47.18655  0.039911  23.10943 293.70227
  -103000.00      957.80      877.65  42.81019  0.039645  23.26445 310.00098
  -102000.00      949.41      867.47  36.21896  0.039361  23.41906 326.22437
  -101000.00      939.37      855.51  28.08742  0.039060  23.56937 342.37170
  -100000.00      928.53      842.74  19.18339  0.038742  23.71182 358.44421
   -99000.00      917.80      830.17  10.29927  0.038409  23.84320  14.44580
   -98000.00      908.04      818.74   2.19338  0.038060  23.96075  30.38037
   -97000.00      899.98      809.29  -4.47133  0.037696  24.06221  46.25403
   -96000.00      894.21      802.46  -9.17022  0.037319  24.14579  62.07324
   -95000.00      891.13      798.67 -11.55316  0.036928  24.21022  77.84546
   -94000.00      890.90      798.12 -11.46998  0.036524  24.25477  93.57922
   -93000.00      893.46      800.75  -8.97064  0.036108  24.27907 109.28320
   -92000.00      898.56      806.28  -4.29601  0.035680  24.28327 124.96631
   -91000.00      905.74      814.20   2.14536  0.035240  24.26781 140.63739
   -90000.00      914.42      823.88   9.81957  0.034789  24.23349 156.30609
   -89000.00      923.90      834.56  18.10192  0.034327  24.18139 171.97986
   -88000.00      933.44      845.42  26.33007  0.033854  24.11279 187.66766
   -87000.00      942.33      855.66  33.85518  0.033372  24.02921 203.37659
   -86000.00      949.88      864.54  40.08128  0.032879  23.93230 219.11273
   -85000.00      955.55      871.45  44.51473  0.032376  23.82389 234.88275
   -84000.00      958.93      875.92  46.80138  0.031864  23.70592 250.69067
   -83000.00      959.79      877.70  46.74712  0.031342  23.58047 266.54004
   -82000.00      958.11      876.74  44.33683  0.030811  23.44973 282.43384
   -81000.00      954.04      873.20  39.73606  0.030272  23.31598 298.37231
   -80000.00      947.94      867.46  33.27786  0.029723  23.18160 314.35583
   -79000.00      940.31      860.04  25.44030  0.029166  23.04903 330.38257
   -78000.00      931.78      851.61  16.80341  0.028601  22.92076 346.44965
   -77000.00      923.01      842.88   8.00399  0.028028  22.79927   2.55249
   -76000.00      914.71      834.59  -0.31825  0.027447  22.68705  18.68555
   -75000.00      907.48      827.39  -7.57382  0.026858  22.58643  34.84180
   -74000.00      901.86      821.85 -13.27730  0.026263  22.49965  51.01270
   -73000.00      898.20      818.35 -17.07950  0.025662  22.42873  67.18848
   -72000.00      896.72      817.09 -18.79305  0.025055  22.37544  83.35822
   -71000.00      897.41      818.08 -18.39817  0.024443  22.34122  99.50958
   -70000.00      900.11      821.12 -16.04365  0.023826  22.32714 115.62964
   -69000.00      904.49      825.85 -12.01951  0.023206  22.33387 131.70416
   -68000.00      910.10      831.79  -6.72218  0.022584  22.36162 147.71857
   -67000.00      916.44      838.37  -0.62408  0.021960  22.41015 163.65704
   -66000.00      922.98      845.03   5.78874  0.021336  22.47875 179.50330
   -65000.00      929.20      851.21  12.04421  0.020713  22.56625 195.24170
   -64000.00      934.67      856.46  17.73975  0.020094  22.67104 210.85553
