        YEAR      RASTRO      QCALOR      RSOLST
 -1000000.00      381.41      412.25      528.32
  -999000.00      381.16      411.86      524.29
  -998000.00      380.24      410.85      517.28
  -997000.00      378.69      409.29      508.03
  -996000.00      376.58      407.32      497.60
  -995000.00      374.11      405.11      487.21
  -994000.00      371.53      402.83      477.97
  -993000.00      369.15      400.69      470.70
  -992000.00      367.28      398.89      465.91
  -991000.00      366.12      397.58      463.75
  -990000.00      365.75      396.89      464.16
  -989000.00      366.14      396.87      466.88
  -988000.00      367.18      397.52      471.58
  -987000.00      368.65      398.77      477.92
  -986000.00      370.35      400.47      485.57
  -985000.00      372.07      402.42      494.22
  -984000.00      373.65      404.39      503.52
  -983000.00      374.93      406.13      512.98
  -982000.00      375.81      407.40      521.82
  -981000.00      376.20      407.98      528.86
  -980000.00      376.03      407.73      532.53
  -979000.00      375.22      406.57      531.29
  -978000.00      373.69      404.54      524.17
  -977000.00      371.39      401.74      511.46
  -976000.00      368.29      398.40      494.83
  -975000.00      364.55      394.80      476.85
  -974000.00      360.52      391.27      460.15
  -973000.00      356.69      388.14      446.76
  -972000.00      353.69      385.72      437.79
  -971000.00      352.03      384.27      433.56
  -970000.00      351.94      383.95      433.83
  -969000.00      353.40      384.85      438.02
  -968000.00      356.19      386.95      445.43
  -967000.00      359.96      390.11      455.38
  -966000.00      364.29      394.12      467.25
  -965000.00      368.81      398.67      480.57
  -964000.00      373.18      403.41      494.93
  -963000.00      377.20      407.99      509.88
  -962000.00      380.66      412.05      524.77
  -961000.00      383.47      415.31      538.58
  -960000.00      385.52      417.57      549.75
  -959000.00      386.76      418.68      556.44
  -958000.00      387.13      418.65      556.97
  -957000.00      386.56      417.53      550.65
  -956000.00      385.00      415.49      538.24
  -955000.00      382.49      412.76      521.85
  -954000.00      379.19      409.60      504.22
  -953000.00      375.47      406.32      487.90
  -952000.00      371.76      403.20      474.63
  -951000.00      368.61      400.52      465.30
  -950000.00      366.40      398.47      460.06
  -949000.00      365.30      397.19      458.59
  -948000.00      365.28      396.75      460.30
  -947000.00      366.15      397.09      464.53
  -946000.00      367.64      398.11      470.63
  -945000.00      369.43      399.63      478.02
  -944000.00      371.27      401.42      486.21
  -943000.00      372.91      403.24      494.73
  -942000.00      374.20      404.85      503.10
  -941000.00      375.04      406.02      510.70
  -940000.00      375.37      406.59      516.74
  -939000.00      375.13      406.45      520.31
  -938000.00      374.33      405.57      520.59
  -937000.00      372.97      404.01      517.14
  -936000.00      371.10      401.88      510.16
  -935000.00      368.79      399.38      500.53
  -934000.00      366.22      396.73      489.67
  -933000.00      363.61      394.17      479.06
  -932000.00      361.23      391.93      469.97
  -931000.00      359.34      390.21      463.22
  -930000.00      358.15      389.12      459.19
  -929000.00      357.78      388.76      457.88
  -928000.00      358.21      389.11      459.04
  -927000.00      359.34      390.12      462.24
  -926000.00      361.01      391.68      467.01
  -925000.00      363.03      393.63      472.84
  -924000.00      365.23      395.80      479.23
  -923000.00      367.43      398.03      485.67
  -922000.00      369.53      400.16      491.71
  -921000.00      371.42      402.10      496.94
  -920000.00      373.04      403.75      501.07
  -919000.00      374.38      405.11      503.98
  -918000.00      375.45      406.18      505.71
